MatrixID,SpeciesAccepted,Authors,YearPublication
238413,Cirsium pitcheri,Halsey; Bell; McEachern; Pavlovic,2016
238414,Cirsium pitcheri,Halsey; Bell; McEachern; Pavlovic,2016
238415,Cirsium pitcheri,Halsey; Bell; McEachern; Pavlovic,2016
238416,Cirsium pitcheri,Halsey; Bell; McEachern; Pavlovic,2016
238417,Cirsium pitcheri,Halsey; Bell; McEachern; Pavlovic,2016
238418,Conradina glabra,Bladow; Bohner; Winn,2017
238419,Conradina glabra,Bladow; Bohner; Winn,2017
238420,Conradina glabra,Bladow; Bohner; Winn,2017
238421,Conradina glabra,Bladow; Bohner; Winn,2017
238422,Conradina glabra,Bladow; Bohner; Winn,2017
238423,Conradina glabra,Bladow; Bohner; Winn,2017
238424,Conradina glabra,Bladow; Bohner; Winn,2017
238425,Cryptantha flava,Salguero-Gómez; Kempenich; Forseth; Casper,2014
238426,Cryptantha flava,Salguero-Gómez; Kempenich; Forseth; Casper,2014
238427,Cryptantha flava,Salguero-Gómez; Kempenich; Forseth; Casper,2014
238428,Cryptantha flava,Salguero-Gómez; Kempenich; Forseth; Casper,2014
238429,Cryptantha flava,Salguero-Gómez; Kempenich; Forseth; Casper,2014
238430,Cryptantha flava,Salguero-Gómez; Kempenich; Forseth; Casper,2014
238431,Cryptantha flava,Salguero-Gómez; Kempenich; Forseth; Casper,2014
238432,Cryptantha flava,Salguero-Gómez; Kempenich; Forseth; Casper,2014
238433,Cryptantha flava,Salguero-Gómez; Kempenich; Forseth; Casper,2014
238434,Cryptantha flava,Salguero-Gómez; Kempenich; Forseth; Casper,2014
238435,Cryptantha flava,Salguero-Gómez; Kempenich; Forseth; Casper,2014
238436,Cryptantha flava,Salguero-Gómez; Kempenich; Forseth; Casper,2014
238437,Cryptantha flava,Salguero-Gómez; Kempenich; Forseth; Casper,2014
238438,Cryptantha flava,Salguero-Gómez; Kempenich; Forseth; Casper,2014
238439,Cryptantha flava,Salguero-Gómez; Kempenich; Forseth; Casper,2014
238440,Cryptantha flava,Salguero-Gómez; Kempenich; Forseth; Casper,2014
238441,Cryptantha flava,Salguero-Gómez; Kempenich; Forseth; Casper,2014
238442,Cryptantha flava,Salguero-Gómez; Kempenich; Forseth; Casper,2014
238443,Cryptantha flava,Salguero-Gómez; Kempenich; Forseth; Casper,2014
238444,Cryptantha flava,Salguero-Gómez; Kempenich; Forseth; Casper,2014
238445,Cryptantha flava,Salguero-Gómez; Kempenich; Forseth; Casper,2014
